Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1986,53.58,0.14,0.05,0.6,0.01,10.01,2.15,0.0,-999,0.04,15.2,3.75,7.53,3.13,1.56,2.52,0.0,4.93,0.26,23.4,11.97,34.12,2.91,0.0,15.86,0.32,35.46,9.45,18.51,0.36,4.33,0.95,13.05,2.95,0.39,0.0,3.6,0.49,0.0,18.55,0.4,0.07,1.93,0.66,20.55,0.43,27.71,2.56,19.09
1987,47.59,0.0,0.0,4.85,0.83,10.23,4.54,1.0,-999,0.0,2.86,5.67,3.82,3.13,0.64,0.0,0.0,9.0,2.02,31.73,6.14,11.83,1.49,0.0,8.89,0.14,12.52,2.35,24.34,1.91,8.52,6.4,17.82,2.5,0.0,0.83,7.01,2.36,0.0,6.57,0.0,0.07,6.01,1.59,21.44,1.22,7.47,3.15,21.4
1988,56.92,0.0,0.67,1.86,2.42,17.38,6.77,0.0,-999,0.0,23.11,7.11,12.0,7.71,6.42,0.88,0.0,11.29,1.02,43.12,14.38,47.77,6.19,0.0,20.42,0.09,48.73,19.8,30.44,3.58,9.07,6.2,20.22,6.8,1.39,1.06,10.71,5.33,0.0,32.17,1.05,0.0,9.58,3.08,23.81,1.22,36.9,4.73,24.76
1989,59.53,0.98,1.72,3.25,4.39,25.91,4.5,0.0,-999,0.0,25.67,12.57,17.66,11.28,11.98,6.86,0.0,8.33,1.15,58.28,17.98,60.99,13.59,1.59,29.18,0.47,62.59,23.6,35.9,0.85,8.42,9.09,23.44,9.0,4.61,3.77,7.85,2.78,0.0,39.34,3.14,1.31,13.5,6.69,38.23,4.23,40.06,8.05,33.6
1990,63.75,0.0,0.03,6.56,3.38,20.34,1.67,0.0,-999,0.0,10.72,12.12,3.35,1.21,5.74,0.0,0.0,1.65,0.14,24.45,6.52,27.98,2.25,0.0,21.16,0.0,33.75,10.45,12.59,0.27,8.65,12.27,4.09,0.59,2.46,3.13,1.51,0.49,0.0,18.0,0.0,0.07,7.83,0.68,8.13,5.06,15.73,0.31,23.9
1991,53.3,0.0,0.0,1.14,0.12,13.96,1.88,0.0,-999,0.0,18.9,5.22,4.44,0.88,1.54,0.0,0.0,3.73,0.2,30.75,7.48,39.48,1.8,0.0,18.06,0.04,41.17,9.17,19.76,0.51,6.71,2.87,10.93,0.93,0.0,0.54,1.37,0.87,0.0,23.65,0.0,0.0,6.61,0.38,19.21,0.36,27.84,0.81,23.39
1992,58.15,0.0,0.0,2.68,0.9,11.08,1.76,0.0,-999,0.0,5.18,6.46,2.91,2.32,0.28,0.58,0.0,2.37,0.25,26.96,6.37,21.51,0.16,0.0,11.96,0.01,25.75,4.08,21.1,0.27,6.51,4.6,14.19,2.96,0.0,0.75,1.53,0.49,0.0,11.71,0.01,0.0,6.77,0.29,24.5,0.01,14.33,1.23,20.52
1993,37.25,0.0,0.02,0.9,3.37,10.27,3.45,0.0,-999,0.0,19.53,11.11,4.6,4.07,3.53,0.18,0.0,7.42,0.46,43.78,12.99,44.54,2.12,0.0,29.89,0.11,49.84,13.62,30.09,1.64,5.46,9.06,25.19,4.0,0.0,3.74,9.12,2.36,0.0,33.46,0.03,0.0,6.12,0.92,33.92,4.05,29.14,2.26,33.66
1994,56.27,0.28,0.33,0.77,1.06,14.03,10.91,1.0,-999,0.0,26.56,3.72,12.66,9.55,1.94,6.22,0.0,17.27,3.46,43.31,23.45,42.93,3.95,0.0,19.75,0.97,53.1,13.35,35.74,4.97,5.73,3.93,27.62,10.29,0.0,0.85,14.67,6.14,0.0,31.72,1.11,0.0,2.23,4.73,37.29,0.71,29.98,8.8,14.95
1995,53.51,0.0,0.02,1.05,0.13,10.51,3.18,0.0,-999,0.0,15.34,2.19,6.84,5.32,2.88,0.0,0.0,6.62,0.53,31.26,10.44,40.77,2.66,0.0,20.54,0.07,48.63,10.76,19.62,1.21,1.98,1.97,13.92,4.91,0.0,0.68,1.99,0.49,0.0,23.29,0.03,0.0,1.96,1.4,18.48,0.76,28.1,5.81,17.27
1996,63.99,0.32,0.53,0.75,0.01,18.52,3.8,0.0,-999,0.0,29.23,6.3,11.3,6.5,11.62,2.62,0.0,10.24,1.78,30.09,20.53,57.22,8.71,0.0,41.49,0.7,71.71,26.78,26.88,2.39,8.48,1.47,17.51,7.76,2.0,1.6,10.84,3.51,0.0,48.39,1.8,0.0,2.68,3.01,21.45,4.89,39.78,7.09,31.43
