Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1992,116.16,0.23,0.71,7.28,1.47,26.26,29.79,5.0,0.0,0.11,39.95,25.68,16.93,18.32,11.29,6.24,0.0,29.65,5.55,59.04,41.92,76.12,7.33,0.14,30.34,0.63,80.46,26.54,62.66,9.45,2.68,9.82,43.15,25.52,1.39,4.42,30.82,15.2,0.01,47.23,1.65,0.6,24.64,5.18,53.63,13.36,64.23,18.7,46.15
1993,84.47,0.55,2.65,1.12,4.31,28.27,36.12,13.0,0.0,0.25,66.76,43.27,39.89,37.09,29.99,14.25,0.0,35.03,13.01,64.93,59.28,91.16,28.16,0.24,50.26,1.84,93.11,52.5,64.71,17.4,4.41,16.91,54.29,40.16,12.46,16.99,37.31,24.42,0.08,71.12,4.11,1.39,21.36,11.04,61.49,32.43,73.98,21.72,64.92
1994,118.08,2.0,5.78,1.55,2.28,23.59,46.25,14.0,0.0,1.28,58.8,26.97,32.87,29.38,17.66,14.36,0.0,43.66,15.25,67.67,57.25,79.45,20.51,1.73,41.92,4.97,87.86,40.9,70.02,24.01,1.72,9.3,54.0,37.01,4.16,4.39,42.07,27.44,1.87,68.08,8.09,0.81,9.89,13.7,62.45,11.87,69.9,19.77,42.21
1995,103.98,1.21,3.72,1.42,1.15,20.99,35.45,12.0,0.0,0.3,64.64,17.96,42.25,40.46,22.93,21.23,0.0,29.16,13.06,70.33,69.29,94.22,29.93,0.62,45.92,2.75,102.74,44.3,67.42,17.75,3.56,3.03,58.79,51.36,8.69,6.21,45.09,17.14,0.12,70.24,9.84,1.38,7.03,16.94,61.08,12.89,86.82,37.82,40.14
1996,120.61,6.6,10.76,1.69,1.65,28.86,38.46,17.0,0.0,2.42,67.49,27.24,42.48,41.08,25.43,22.28,2.36,39.81,18.01,65.29,68.12,107.81,29.81,5.89,64.83,7.21,116.34,50.44,66.64,23.02,4.73,6.79,52.44,48.53,12.84,5.17,43.1,24.64,2.13,84.78,12.93,4.9,9.0,19.61,57.82,24.05,90.93,34.1,55.54
1997,101.88,1.21,6.01,5.55,1.44,33.35,23.95,5.0,0.0,0.3,60.92,23.22,34.45,29.16,22.71,13.14,0.95,22.53,7.82,64.57,51.72,96.22,25.0,2.43,45.09,2.82,97.38,41.36,63.06,9.06,10.02,7.86,49.02,34.04,5.77,3.29,24.95,9.09,0.01,67.27,7.02,4.03,18.28,10.97,60.19,13.33,72.94,18.92,60.28
1998,93.82,0.22,2.77,2.83,2.69,19.54,16.92,4.0,0.0,0.0,43.59,15.61,20.19,15.43,19.1,8.63,0.32,13.68,3.5,46.21,31.18,66.78,15.67,1.66,34.46,0.97,79.57,34.18,40.12,4.9,2.09,9.14,26.94,18.07,9.84,5.04,14.26,8.48,0.01,49.02,3.65,1.83,9.8,6.76,32.54,11.36,49.2,11.57,41.02
1999,121.73,1.7,3.33,1.2,1.51,16.25,26.29,6.0,0.0,0.7,39.31,15.68,23.34,21.52,7.93,10.63,0.0,24.58,9.3,43.19,41.07,56.75,14.6,1.7,21.02,2.0,62.08,18.7,48.8,10.6,1.46,3.39,46.4,29.65,6.3,2.79,32.46,13.97,0.15,33.87,3.56,0.34,4.53,10.77,51.24,5.14,52.09,22.79,26.26
2000,87.13,2.77,11.36,1.62,0.59,22.78,41.25,15.0,0.0,1.61,61.91,29.49,40.77,40.77,19.55,24.02,0.16,36.1,17.86,63.49,60.18,86.65,28.47,3.42,44.85,4.94,91.17,41.28,65.09,21.9,3.19,2.55,57.24,47.72,13.23,5.62,47.65,20.79,0.63,64.61,10.68,2.48,7.96,22.43,59.19,15.44,74.65,33.92,50.18
2001,105.67,0.87,3.59,3.84,1.61,25.22,24.18,4.0,0.0,0.19,53.7,35.16,27.09,22.91,16.9,9.61,0.16,20.97,4.37,65.68,45.02,78.96,18.16,1.09,42.88,1.05,87.64,33.88,58.0,7.38,6.13,10.68,42.26,31.58,11.46,6.62,27.18,7.4,0.0,60.82,4.55,1.95,18.73,6.25,53.15,12.47,60.54,19.58,53.08
2002,84.9,0.91,2.76,3.16,1.85,31.64,13.4,2.0,0.0,0.44,38.21,25.35,19.38,17.77,15.09,9.73,0.0,11.1,4.29,50.91,42.38,73.35,15.15,0.09,46.64,2.45,87.42,27.86,51.75,4.37,3.41,7.05,39.52,25.96,7.84,3.62,25.39,5.46,0.69,49.24,3.92,0.86,16.32,8.19,44.07,6.28,56.85,18.87,56.85
2003,88.49,1.43,5.28,1.65,1.2,21.13,48.53,13.0,0.0,0.24,56.47,13.78,37.68,39.53,18.91,18.66,0.0,44.31,18.96,77.41,66.52,88.66,24.09,1.1,49.44,3.47,103.17,35.09,74.56,26.55,1.61,4.38,64.57,52.33,12.3,3.54,53.99,31.92,0.93,58.39,6.79,1.11,10.14,18.84,73.45,6.99,73.97,32.73,49.03
2004,97.12,1.13,4.1,2.45,1.57,22.91,43.03,14.0,0.0,0.16,45.23,25.18,32.92,31.8,18.75,15.25,0.23,35.86,20.12,62.69,54.27,67.03,19.62,1.86,31.81,4.29,77.26,31.6,63.53,24.3,4.57,12.87,52.66,35.63,11.76,5.75,37.99,25.03,0.52,43.17,6.07,2.1,24.61,14.62,59.88,10.22,63.38,20.94,43.82
2005,97.35,0.25,2.0,1.7,1.44,23.17,39.81,12.0,0.0,0.45,51.66,30.43,32.93,31.86,22.42,8.54,0.0,32.95,14.85,67.0,68.84,78.05,19.82,0.09,44.19,3.27,77.57,37.09,69.32,17.28,3.18,11.9,59.06,43.79,9.07,7.78,39.32,21.8,0.54,48.78,3.02,1.35,13.0,13.56,67.27,16.44,77.36,25.02,38.45
2006,114.78,0.22,2.18,2.04,2.6,27.26,20.32,0.0,0.0,0.0,23.77,24.91,12.1,10.45,9.28,4.94,0.32,17.42,2.27,45.12,31.02,57.75,10.29,0.48,31.82,0.45,73.07,19.61,47.14,5.97,2.2,9.11,33.88,18.03,4.23,4.33,19.64,7.55,0.0,32.34,1.82,1.34,17.51,5.22,40.48,9.3,45.79,14.59,38.42
2007,110.84,0.0,4.52,4.09,2.36,38.65,38.94,8.0,0.0,0.01,67.62,33.26,38.73,31.41,31.69,15.35,0.47,40.35,14.24,69.2,69.6,91.51,26.67,0.46,46.69,0.57,87.2,50.45,74.49,18.62,8.88,12.34,59.42,41.89,21.15,7.07,42.54,20.47,0.0,66.89,4.43,3.87,27.49,12.82,70.08,17.47,80.77,29.52,57.57
