Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2004,0.0,24.8,29.03,84.97,63.98,28.33,1.57,2.0,74.85,34.8,1.51,24.15,4.13,2.24,35.99,5.54,60.19,1.85,5.67,0.25,0.54,2.07,7.29,29.3,9.36,16.24,19.78,0.77,5.22,64.15,50.99,0.56,0.85,61.93,24.85,0.27,0.57,45.41,16.26,8.47,59.04,47.74,10.12,0.07,26.04,0.21,1.0,11.11
2005,0.0,39.97,79.63,81.59,56.9,41.3,9.69,14.0,70.01,44.31,18.55,25.34,34.26,20.6,55.77,35.0,93.42,9.78,22.91,2.0,8.76,7.96,38.73,64.62,18.61,29.02,38.24,4.87,22.62,76.56,51.86,6.89,12.62,85.47,22.3,12.15,14.91,46.81,30.62,35.59,102.9,45.0,14.06,3.27,16.16,10.22,13.13,22.02
2006,0.0,73.33,63.04,77.56,64.81,36.76,9.08,17.0,78.69,58.68,14.0,32.81,19.56,15.34,65.07,26.08,81.49,6.93,23.75,1.24,7.46,9.45,35.94,82.2,23.69,27.72,37.57,6.08,17.45,66.61,59.81,3.63,4.96,95.24,29.28,7.12,6.35,57.52,36.32,41.69,106.38,50.86,13.17,4.07,23.99,7.8,6.76,25.98
2007,0.0,70.81,45.1,90.84,63.59,38.42,5.6,16.0,76.97,57.68,9.48,34.09,25.11,27.2,48.14,54.45,60.41,9.11,30.66,3.99,7.14,8.04,29.25,70.81,28.8,45.67,30.75,6.59,12.21,69.39,73.22,4.2,12.63,67.01,18.07,9.3,7.24,71.09,29.13,55.78,53.32,63.84,19.72,2.94,17.01,3.95,15.48,30.87
2008,0.0,47.44,38.39,81.87,70.9,32.67,5.61,19.0,67.01,51.6,2.4,24.55,5.39,5.8,35.85,29.56,62.43,6.21,19.21,0.99,0.98,1.3,11.69,50.83,13.96,28.2,14.63,4.47,15.58,60.38,69.06,2.23,5.71,77.78,22.09,3.97,6.4,61.6,11.21,32.39,94.47,56.77,14.71,2.51,16.44,0.32,4.72,17.13
2009,0.08,32.2,30.5,85.0,70.63,22.45,3.47,-999.0,84.4,40.78,3.48,26.39,7.41,4.5,34.28,10.84,67.4,2.95,12.46,0.49,1.42,2.32,12.61,46.35,10.4,17.78,12.68,2.84,6.68,59.64,58.35,0.79,2.56,69.62,28.52,1.08,0.57,42.12,10.86,14.52,95.52,53.14,4.78,0.07,22.8,1.34,1.3,10.63
2010,0.16,85.49,81.06,89.96,57.88,35.97,13.79,49.0,93.08,78.51,7.62,18.47,23.19,24.88,59.88,47.34,99.68,13.97,45.96,3.23,3.69,4.38,34.97,86.55,9.32,52.1,26.71,11.7,29.23,76.21,59.03,5.19,15.86,91.7,16.08,9.78,14.02,83.2,19.46,59.77,93.81,53.58,31.9,4.74,14.23,1.65,9.6,16.26
2011,0.0,74.48,78.53,87.14,58.73,40.69,7.81,37.0,97.89,89.73,18.54,22.34,27.96,25.65,72.38,39.34,94.44,4.44,32.34,1.74,8.55,6.72,47.48,79.98,12.66,42.95,30.88,6.59,16.34,86.61,57.6,4.64,17.75,107.4,16.72,8.87,4.09,88.95,23.25,49.02,127.81,48.54,20.72,3.14,10.99,6.62,8.78,22.52
2012,0.0,42.72,70.94,100.05,72.96,48.87,11.04,25.0,69.77,54.36,35.64,28.85,44.04,39.72,75.6,41.3,67.32,10.85,30.04,2.99,14.34,12.28,58.01,56.25,24.23,27.09,61.01,8.34,20.44,92.04,70.72,5.37,24.58,98.55,19.78,8.11,9.45,47.24,43.82,44.84,104.18,61.2,13.79,3.64,16.47,16.16,10.87,33.48
2013,0.67,19.7,51.03,90.19,68.6,36.55,7.53,13.0,59.72,30.07,14.16,31.54,15.59,9.95,52.99,12.01,71.3,12.42,16.87,3.75,5.12,6.02,23.13,42.35,14.09,8.12,32.03,9.5,11.79,70.63,63.21,3.36,5.89,73.48,22.76,4.15,14.63,22.32,17.93,14.23,96.78,50.8,5.23,2.81,20.45,5.37,2.15,22.57
2014,0.0,38.66,31.93,82.04,74.48,26.21,2.36,13.0,79.76,50.69,1.7,24.66,5.35,4.15,47.04,17.31,54.14,2.38,12.76,0.49,0.2,0.64,18.61,38.13,10.49,17.26,17.49,1.75,8.6,66.35,54.06,0.41,1.61,74.17,29.65,0.12,0.99,51.04,9.54,15.98,86.02,45.36,5.9,0.87,19.44,0.45,0.47,14.08
2015,0.0,47.68,60.34,89.56,70.74,32.33,5.79,13.0,75.96,58.6,5.16,32.59,10.53,7.7,53.97,17.52,80.08,7.0,16.14,0.25,1.13,2.26,18.99,58.46,16.87,29.93,25.67,6.77,14.67,71.75,59.25,1.11,3.3,80.78,30.74,1.16,4.09,57.27,18.05,28.8,92.12,55.64,10.22,1.21,24.24,1.43,2.49,18.16
