Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1979,111.69,-999,-999,16.61,27.5,31.63,9.7,104.06,49.29,25.87,0.18,9.69,88.17,78.92,66.93,62.46,62.0,45.13,6.14,41.68,34.94,80.63,82.35,114.79,61.88,15.11,105.69,25.46,137.86,87.43,69.79,40.87,70.98,62.09,66.58,57.85,37.8,28.92,57.22,49.0,12.61,112.47,34.95,16.19,74.76,39.43,71.25,31.7,102.76,60.67,-999
1980,121.37,-999,-999,11.62,17.9,19.19,6.93,88.0,67.53,31.61,0.09,7.43,77.76,59.19,56.52,59.15,50.7,34.42,1.54,75.21,38.41,115.41,88.13,111.78,49.18,9.87,86.83,25.92,118.71,77.2,102.4,52.22,56.45,49.41,87.41,60.38,26.09,20.47,69.48,63.0,11.39,97.62,26.33,7.94,53.53,36.89,95.04,22.49,99.72,56.62,-999
1981,108.29,-999,-999,14.58,17.03,17.13,4.61,78.1,50.49,29.84,1.27,12.14,68.88,44.83,50.94,53.14,46.6,35.87,3.7,57.04,40.77,90.78,75.71,92.44,41.58,14.51,75.63,32.27,98.05,70.22,79.5,45.7,55.05,40.03,70.09,52.15,23.08,12.43,59.93,56.0,17.17,82.97,32.11,4.63,47.19,43.55,77.6,11.31,85.94,62.14,-999
1982,136.06,-999,-999,9.07,18.5,20.72,11.16,94.68,56.98,26.97,0.64,5.68,79.49,77.62,60.45,53.62,59.37,30.63,4.64,69.8,34.31,107.34,85.21,108.29,49.71,11.38,104.21,17.89,122.16,89.51,96.91,44.94,58.34,61.36,80.5,55.89,33.63,27.16,58.5,51.0,8.77,102.51,22.96,11.42,67.4,35.05,92.47,27.43,96.99,48.55,-999
1983,121.52,-999,-999,8.46,16.28,17.41,5.28,87.57,39.11,18.26,1.32,6.21,66.02,48.19,41.99,39.67,50.76,23.29,6.25,47.25,21.96,86.7,69.5,94.71,33.83,9.84,82.8,16.15,98.96,72.7,72.29,32.09,55.78,33.43,61.54,40.38,18.95,17.0,47.76,37.0,7.85,87.24,20.01,12.98,46.62,28.57,73.2,18.25,80.77,41.85,-999
1984,117.97,-999,-999,10.69,13.69,28.23,9.66,98.76,43.87,24.54,0.01,4.92,67.49,86.32,48.37,46.21,40.01,26.61,2.73,52.07,28.54,96.05,73.46,100.92,33.03,10.01,85.48,17.97,103.23,70.32,83.68,36.5,59.47,62.59,67.91,47.71,15.55,21.81,57.31,46.0,7.68,87.18,21.98,6.56,76.99,33.87,76.18,23.08,87.37,44.61,-999
1985,128.12,-999,-999,16.79,24.6,23.3,13.68,94.34,59.25,31.17,1.91,11.23,86.88,111.99,68.4,62.17,62.65,46.36,6.54,63.3,37.06,111.9,85.91,111.4,58.2,18.52,107.57,27.1,119.42,90.53,91.01,46.13,61.65,79.0,77.5,61.69,34.5,46.05,67.5,56.0,14.52,103.96,39.13,13.95,72.63,40.56,89.63,46.56,96.15,54.66,-999
1986,122.75,-999,-999,6.74,11.41,19.74,3.27,75.82,46.0,21.13,0.34,4.48,64.53,53.49,47.3,45.14,37.83,33.95,0.35,56.04,31.5,108.5,71.97,101.56,35.81,8.31,72.32,17.94,107.25,60.12,85.86,35.8,48.05,48.65,66.74,43.42,17.48,13.33,53.79,51.0,5.48,81.94,24.62,4.8,47.38,32.27,81.44,14.05,87.14,43.41,-999
1987,104.74,-999,-999,6.06,5.35,30.55,10.34,87.94,33.13,15.73,0.0,1.88,51.04,66.43,32.64,26.43,33.36,19.28,0.07,58.14,23.42,96.58,59.21,83.66,27.48,2.5,78.32,12.11,94.42,59.81,87.04,32.83,65.24,62.41,65.66,30.35,14.9,22.65,49.52,55.0,1.94,74.67,11.73,6.35,61.33,28.83,69.92,18.1,70.28,33.61,-999
1988,123.63,-999,-999,9.93,17.43,30.94,10.43,103.9,59.04,29.26,0.0,5.75,80.22,73.19,61.73,53.53,56.0,39.63,2.11,61.05,35.61,101.65,82.31,111.09,54.05,9.39,84.84,29.88,120.93,82.95,88.73,40.92,72.45,70.02,75.66,55.12,26.83,20.47,62.6,54.0,13.14,96.76,33.21,9.59,75.19,46.52,85.14,18.61,95.25,55.63,-999
1989,123.12,-999,-999,12.37,23.19,31.79,15.2,100.78,65.44,30.59,1.05,5.93,92.05,74.94,66.5,54.79,63.26,35.98,5.88,79.34,39.36,114.75,98.01,122.94,55.64,13.5,92.1,20.41,129.07,93.36,101.63,57.88,67.71,80.6,89.21,59.09,35.48,28.23,73.97,71.0,8.71,104.98,28.79,17.12,76.45,41.73,99.76,22.07,109.77,56.38,-999
1990,127.22,-999,-999,1.99,7.07,35.33,13.49,88.44,25.0,6.84,0.0,0.88,66.89,70.27,29.81,22.49,40.9,13.3,1.34,36.25,11.69,92.3,64.45,105.46,24.02,1.78,81.82,5.22,115.26,71.22,76.28,16.96,64.23,75.35,51.32,21.16,17.64,26.25,34.68,28.0,0.52,86.8,10.2,7.7,67.0,13.17,71.09,21.81,88.24,29.06,-999
1991,114.09,-999,-999,4.75,8.96,26.72,8.8,99.44,41.49,10.39,0.0,2.21,74.72,66.67,47.21,40.88,45.3,23.07,0.02,47.49,22.89,91.76,73.02,106.18,36.17,2.98,83.95,12.95,112.66,70.23,77.84,27.4,57.79,69.55,66.13,42.78,16.78,20.78,50.15,46.0,3.72,89.88,18.8,3.35,69.16,26.88,76.95,16.61,94.16,40.98,-999
1992,131.73,-999,-999,4.56,5.23,26.77,8.07,89.94,49.58,13.57,0.0,1.33,51.49,58.06,29.51,27.99,31.9,19.04,0.29,60.66,18.53,107.81,64.29,86.57,22.32,1.94,78.08,9.9,103.05,55.33,95.19,33.65,63.28,61.03,69.61,38.2,10.35,14.97,51.17,53.0,1.27,79.77,11.53,3.86,68.5,27.76,90.21,13.16,73.36,46.64,-999
