Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1967,-999,-999,-999,-999,-999,0.0,-999,0.06,-999,-999,-999,-999,0.1,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.12,0.58,2.46,0.0,-999,0.39,0.0,1.97,0.03,0.0,-999,0.04,0.0,0.28,0.0,-999,0.0,0.0,-999,-999,0.3,-999,-999,0.02,-999,0.0,0.0,1.21,0.0,-999
1968,-999,-999,-999,-999,-999,0.0,-999,0.11,-999,-999,-999,-999,0.0,0.23,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.2,1.41,0.0,-999,1.37,0.0,2.26,0.0,0.22,-999,0.04,0.0,0.48,0.0,-999,0.0,0.0,-999,-999,0.17,-999,-999,0.02,-999,1.23,0.84,0.38,0.0,-999
1969,-999,-999,-999,-999,-999,0.0,-999,0.13,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.02,0.21,0.0,-999,2.75,0.0,0.13,0.0,0.01,-999,0.04,0.0,0.01,0.0,-999,0.0,0.0,-999,-999,0.06,-999,-999,0.02,-999,0.0,0.34,0.03,0.0,-999
1970,-999,-999,-999,-999,-999,0.0,-999,0.12,-999,-999,-999,-999,0.26,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.39,2.73,0.0,-999,0.59,0.0,2.87,0.02,0.08,-999,0.2,0.0,0.03,0.0,-999,0.0,0.0,-999,-999,0.86,-999,-999,0.08,-999,0.0,0.0,0.93,0.0,-999
1971,-999,-999,-999,-999,-999,1.5,-999,0.55,-999,-999,-999,-999,0.1,0.0,0.0,0.0,0.0,-999,-999,-999,-999,1.05,0.91,0.75,0.0,-999,0.81,0.0,0.57,0.0,0.26,-999,2.21,0.0,0.11,0.0,-999,0.0,0.0,-999,-999,0.24,-999,-999,0.12,-999,0.0,0.0,0.69,0.0,-999
1972,-999,-999,-999,-999,-999,0.0,-999,0.25,-999,-999,-999,-999,0.06,0.42,0.0,0.0,0.0,-999,-999,-999,-999,0.29,0.91,2.8,0.0,-999,2.68,0.0,2.58,0.0,0.11,-999,0.04,0.67,0.27,0.0,-999,0.0,0.0,-999,-999,0.75,-999,-999,0.32,-999,0.0,0.0,1.5,0.0,-999
1973,-999,-999,-999,-999,-999,0.0,-999,0.07,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.17,0.38,1.81,0.0,-999,0.35,0.0,0.23,0.0,0.19,-999,0.04,0.0,0.06,0.0,-999,0.0,0.0,-999,-999,0.12,-999,-999,0.14,-999,0.0,0.0,0.24,0.0,-999
1974,-999,-999,-999,-999,-999,0.0,-999,0.44,-999,-999,-999,-999,0.11,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.2,0.37,1.58,0.2,-999,0.61,0.0,1.47,0.08,0.08,-999,0.96,0.0,0.03,0.0,-999,0.0,0.0,-999,-999,0.17,-999,-999,0.1,-999,0.27,0.0,0.45,0.0,-999
1975,-999,-999,-999,-999,-999,0.0,-999,0.2,-999,-999,-999,-999,0.02,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.14,0.19,0.22,0.0,-999,0.27,0.0,0.01,0.0,0.08,-999,0.04,0.0,0.03,0.0,-999,0.0,0.0,-999,-999,0.01,-999,-999,0.03,-999,0.0,0.0,0.11,0.0,-999
1976,-999,-999,-999,-999,-999,0.0,-999,0.13,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,1.0,0.5,1.41,0.0,-999,0.24,0.0,0.34,0.0,0.22,-999,0.2,0.0,0.36,0.0,-999,0.0,0.0,-999,-999,0.06,-999,-999,0.02,-999,0.27,0.0,0.33,0.0,-999
