Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1975,-999,-999,-999,0.0,0.69,37.25,23.39,1.06,0.5,0.03,0.13,0.15,0.13,2.45,0.01,0.0,7.05,0.0,0.01,0.7,0.0,1.01,0.04,0.26,1.58,0.04,1.02,0.05,1.32,2.31,0.92,0.17,1.73,5.17,0.01,0.01,3.26,1.8,0.0,1.0,1.02,5.5,0.03,2.8,7.08,0.12,1.0,2.91,0.0,0.02,1.31
1976,-999,-999,-999,0.15,0.9,32.18,21.5,2.63,0.0,0.03,0.0,0.06,0.52,1.43,0.15,0.01,9.24,0.0,0.1,0.01,0.0,0.0,0.01,1.96,1.06,0.32,1.01,0.44,2.89,3.92,0.0,0.06,1.75,2.75,0.01,0.01,6.94,0.45,0.01,0.0,0.19,12.13,0.05,4.52,10.24,0.31,0.0,0.39,0.09,0.02,2.18
1977,-999,-999,-999,4.7,4.17,41.84,25.68,3.38,0.5,1.51,0.77,5.09,2.13,1.83,0.48,0.0,10.23,0.22,2.8,0.5,0.61,0.0,0.12,0.26,1.11,3.42,1.0,4.17,1.04,3.44,1.09,0.4,6.56,5.22,0.18,0.11,7.82,4.77,0.01,0.0,8.3,4.23,1.68,16.79,12.01,4.85,0.0,4.6,0.11,0.06,1.82
1978,-999,-999,-999,0.6,13.4,47.47,28.02,4.74,0.0,0.03,0.0,1.92,0.02,2.29,0.49,0.26,24.68,1.36,4.23,0.01,0.39,0.0,0.0,0.18,2.36,1.22,0.74,0.11,2.5,4.86,0.55,0.06,11.03,9.59,0.01,0.01,30.84,4.02,0.01,0.0,1.3,4.18,0.36,21.72,13.18,0.2,0.0,1.78,0.09,0.02,1.4
1979,-999,-999,-999,0.15,0.1,46.84,24.94,2.9,0.0,0.03,0.01,0.83,0.06,2.36,0.04,0.0,6.58,0.0,0.42,0.01,0.0,0.0,0.0,0.23,0.04,0.17,0.84,0.26,0.36,2.47,0.0,0.06,4.98,6.67,0.01,0.01,3.53,2.9,0.01,0.0,0.51,1.96,0.03,7.65,14.41,0.05,0.0,3.03,0.0,0.04,1.6
1980,-999,-999,-999,12.22,40.48,47.14,24.62,7.17,0.0,1.51,0.58,9.7,2.28,1.06,2.07,1.49,36.81,6.4,18.5,0.01,1.76,0.0,0.01,0.42,24.2,14.94,1.68,2.59,1.44,11.88,0.0,1.04,15.79,5.39,0.14,0.19,45.0,1.22,0.52,0.0,10.83,7.05,8.1,37.25,11.0,2.65,0.0,0.76,0.08,0.16,2.17
1981,-999,-999,-999,1.9,2.0,43.37,28.96,3.86,0.0,0.03,2.52,8.56,0.25,1.57,0.01,0.0,7.5,0.0,2.45,0.01,0.0,0.0,0.0,0.0,0.08,2.84,1.3,0.85,1.34,3.31,0.0,0.06,8.63,7.04,0.01,0.01,11.69,4.67,0.01,0.0,3.81,2.39,0.03,8.61,16.65,0.08,0.0,4.14,0.0,0.02,2.83
1982,-999,-999,-999,0.0,1.49,32.94,16.55,2.6,0.0,0.03,0.07,0.02,0.05,0.89,0.01,0.0,6.58,0.12,0.27,0.01,0.0,0.0,0.0,0.09,0.59,0.01,0.39,0.12,0.52,1.69,0.0,0.11,2.78,2.04,0.01,0.0,12.75,0.78,0.01,0.0,0.25,2.29,0.03,16.34,10.21,0.03,0.0,1.86,0.0,0.02,1.58
1983,-999,-999,-999,2.51,11.45,38.09,22.69,3.31,0.0,0.03,0.29,6.18,5.02,1.42,4.53,2.2,27.55,7.24,0.63,0.01,1.37,0.0,0.03,0.28,13.13,1.46,4.98,6.55,3.86,7.94,0.0,1.22,3.99,2.27,0.01,0.61,22.32,0.79,0.46,0.0,10.15,6.71,2.84,13.27,10.07,3.6,0.0,0.92,0.11,0.5,6.09
1984,-999,-999,-999,0.0,2.3,35.08,28.53,2.2,0.0,0.03,0.08,0.34,0.83,1.91,0.05,0.1,13.71,0.0,0.17,0.01,0.0,0.0,0.0,0.2,2.23,0.05,2.07,0.03,1.54,3.03,0.0,0.06,2.29,2.32,0.01,0.01,13.52,1.02,0.01,0.0,0.64,2.6,0.01,15.42,12.45,0.03,0.0,1.12,0.05,0.04,0.89
