Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1987,10.56,-999,-999,14.83,16.34,2.3,3.97,1.54,11.22,8.79,17.09,12.67,7.82,0.54,7.98,7.25,8.7,9.1,19.43,12.71,9.72,7.27,4.84,4.23,10.96,16.4,1.58,13.86,2.95,5.63,11.07,13.48,1.98,0.59,7.11,5.35,13.11,5.1,7.15,9.63,13.08,2.7,11.31,-999,0.72,11.72,7.16,4.62,4.56,6.17,0.61
1988,9.32,-999,-999,15.28,14.15,2.22,3.33,1.43,10.2,11.05,16.03,12.1,4.39,0.77,6.64,7.81,5.07,11.62,17.67,10.91,8.06,6.42,5.54,4.66,9.5,16.17,0.89,9.67,1.54,5.2,10.66,9.48,2.74,0.36,5.92,6.0,8.29,4.88,6.32,11.42,9.94,3.19,12.53,-999,0.64,7.97,4.94,5.36,4.76,5.32,0.67
1989,8.71,-999,-999,21.56,15.78,2.05,3.15,1.13,14.24,14.76,14.79,16.25,5.54,0.66,7.39,12.04,7.54,16.29,19.01,13.34,12.97,6.63,4.24,4.34,8.28,21.26,1.2,17.63,2.0,3.25,8.08,15.91,1.51,0.47,8.28,8.43,11.2,3.41,9.13,16.81,15.6,3.1,20.19,-999,0.59,14.47,7.51,4.31,4.57,11.07,0.85
1990,9.01,-999,-999,17.0,22.04,2.42,2.82,1.68,12.93,9.69,13.53,14.07,9.59,0.97,13.95,15.37,6.75,16.11,21.49,12.65,12.23,11.35,7.42,5.97,14.42,19.82,0.76,13.74,2.56,3.85,14.14,13.49,1.94,0.4,9.15,13.16,12.39,5.15,10.19,14.25,12.7,3.32,18.9,-999,0.76,11.73,10.07,7.99,7.63,9.77,0.76
1991,10.66,-999,-999,21.17,20.48,2.09,5.03,1.4,12.18,10.31,19.43,18.21,9.64,0.99,7.73,7.78,5.3,11.74,28.53,12.93,9.28,8.76,6.35,7.71,10.54,23.65,1.42,13.21,3.08,4.16,10.57,12.02,3.57,0.28,6.12,4.62,11.94,5.37,5.69,12.54,15.49,5.05,17.84,-999,1.12,9.48,5.43,5.78,9.02,7.49,1.16
1992,10.26,-999,-999,18.78,14.57,3.45,5.66,1.74,12.09,9.01,16.89,19.12,8.56,0.87,8.13,10.01,8.35,9.44,21.68,10.49,10.54,7.08,5.66,4.89,10.25,17.11,1.34,16.47,1.79,5.62,7.34,10.16,1.78,0.31,7.37,7.93,11.33,4.22,7.54,13.31,16.31,3.36,12.75,-999,0.7,10.07,5.45,5.15,6.24,6.13,0.68
1993,8.41,-999,-999,14.64,15.8,3.87,6.65,1.54,11.96,13.83,14.82,14.12,12.25,0.61,13.04,12.27,10.31,10.53,17.95,10.0,11.14,8.09,4.92,6.67,15.24,17.67,2.54,13.17,4.35,6.53,7.25,12.7,1.87,0.25,6.42,6.85,10.34,4.05,10.01,11.32,12.77,4.95,11.66,-999,1.0,10.35,2.9,3.85,7.02,7.19,1.58
1994,9.23,-999,-999,21.62,17.39,2.48,3.44,0.94,14.18,14.67,20.85,18.31,6.46,0.91,8.35,8.44,6.59,14.62,19.32,13.35,11.25,7.51,6.04,5.6,12.47,19.8,1.3,13.87,3.98,4.65,9.39,14.38,2.22,0.24,7.49,6.42,10.95,4.57,10.49,12.7,15.88,3.17,20.93,-999,0.78,10.88,5.18,6.25,6.19,11.07,1.01
1995,6.8,-999,-999,19.96,12.92,1.67,8.84,1.72,10.83,13.41,18.25,14.77,7.28,1.83,10.21,8.33,8.19,13.7,19.98,9.69,9.7,7.96,5.51,6.17,11.83,19.17,1.87,16.06,3.12,5.1,10.16,11.72,1.57,0.58,6.79,7.83,11.85,7.84,7.13,10.34,15.67,5.77,16.47,-999,1.05,11.59,6.71,7.09,7.27,7.2,1.13
1996,6.93,-999,-999,19.33,16.55,1.46,8.38,2.1,14.13,18.71,16.63,14.45,7.84,1.9,9.07,13.36,9.2,16.18,17.15,16.07,16.86,10.58,5.77,5.47,13.38,18.22,1.08,15.0,2.68,6.27,13.74,17.18,2.47,0.42,10.35,10.71,11.84,11.42,13.92,15.24,11.48,4.21,17.79,-999,1.14,14.11,8.59,8.77,7.13,13.48,0.85
