Folder,File name,Plain-language description,State/Region,Century,Emissions scenario,Season,Format,Date (file modified),Note
Mid-Century/Annual,MC_SSP245_IA_Annual_Precip_053025.ai,"Iowa, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Iowa,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,Adobe Illustrator source,5/30/25,
Mid-Century/Annual,MC_SSP245_IA_Annual_Precip_052725.aix,"Iowa, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Iowa,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,ArcGIS AIX data file,5/27/25,
Mid-Century/Annual,MC_SSP245_IA_Annual_Precip_052725.jpg,"Iowa, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Iowa,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,JPEG preview image,5/27/25,
Mid-Century/Fall (SON),MC_SSP245_IA_SON_Precip_052725.aix,"Iowa, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Iowa,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),ArcGIS AIX data file,5/27/25,
Mid-Century/Fall (SON),MC_SSP245_IA_SON_Precip_052725.jpg,"Iowa, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Iowa,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),JPEG preview image,5/27/25,
Mid-Century/Spring (MAM),MC_SSP245_IA_MAM_Precip_053025.ai,"Iowa, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Iowa,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),Adobe Illustrator source,5/30/25,
Mid-Century/Spring (MAM),MC_SSP245_IA_MAM_Precip_052725.aix,"Iowa, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Iowa,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),ArcGIS AIX data file,5/27/25,
Mid-Century/Spring (MAM),MC_SSP245_IA_MAM_Precip_052725.jpg,"Iowa, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Iowa,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),JPEG preview image,5/27/25,
Mid-Century/Summer (JJA),MC_SSP245_IA_JJA_Precip_052725.aix,"Iowa, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Iowa,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,5/27/25,
Mid-Century/Summer (JJA),MC_SSP245_IA_JJA_Precip_052725.jpg,"Iowa, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Iowa,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,5/27/25,
Mid-Century/Winter (DJF),MC_SSP245_IA_DJF_Precip_052725.aix,"Iowa, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Iowa,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),ArcGIS AIX data file,5/27/25,
Mid-Century/Winter (DJF),MC_SSP245_IA_DJF_Precip_052725.jpg,"Iowa, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Iowa,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),JPEG preview image,5/27/25,
Mid-Century/Annual,MC_SSP245_KS_Annual_Precip_053025.ai,"Kansas, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Kansas,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,Adobe Illustrator source,5/30/25,
Mid-Century/Annual,MC_SSP245_KS_Annual_Precip_052725.aix,"Kansas, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Kansas,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,ArcGIS AIX data file,5/27/25,
Mid-Century/Annual,MC_SSP245_KS_Annual_Precip_052725.jpg,"Kansas, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Kansas,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,JPEG preview image,5/27/25,
Mid-Century/Fall (SON),MC_SSP245_KS_SON_Precip_052725.aix,"Kansas, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Kansas,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),ArcGIS AIX data file,5/27/25,
Mid-Century/Fall (SON),MC_SSP245_KS_SON_Precip_052725.jpg,"Kansas, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Kansas,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),JPEG preview image,5/27/25,
Mid-Century/Spring (MAM),MC_SSP245_KS_MAM_Precip_052725.aix,"Kansas, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Kansas,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),ArcGIS AIX data file,5/27/25,
Mid-Century/Spring (MAM),MC_SSP245_KS_MAM_Precip_052725.jpg,"Kansas, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Kansas,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),JPEG preview image,5/27/25,
Mid-Century/Summer (JJA),MC_SSP245_KS_JJA_Precip_053025.ai,"Kansas, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Kansas,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),Adobe Illustrator source,5/30/25,
